ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
22240,202408,0,Rang_ingreso_02,Lima,27.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86930,202408,1,Rang_ingreso_04,Provincia,41.0,0.0,Cero,0,0,0,0,0,0,1,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,1,1,1,1,1,1
53259,202408,1,Rang_ingreso_03,Lima,29.0,8.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,6,0,2,1,4,0,3,2,0,3,3,5,14,0,0,9,1,10,3,4,3,4,4,4,1,1,1,1,1,1
53104,202408,0,,Lima,57.0,2.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,4,0,0,0,1,0,0,0,0,0,0,3,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
5720,202408,1,Rang_ingreso_03,Lima,28.0,1.0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,6,4,4,3,1,3,5,6,5,7,4,9,1,2,2,2,0,1,1,1,1,1,2,2,0,0,0,0,0,0
85218,202408,1,Rang_ingreso_04,Provincia,45.0,0.0,Cero,5810,6000,600,0,0,0,1,1,1,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,7,7,7,6,5,1,1,1,1,1,1
13112,202408,0,,Lima,,,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45338,202408,1,Rang_ingreso_02,Lima,47.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58658,202408,1,Rang_ingreso_02,Provincia,24.0,0.0,Rango_SDO_02,0,0,0,0,0,0,1,1,0,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1
39512,202408,0,Rang_ingreso_01,Lima,23.0,3.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,17,17,9,8,0,0,0,0,0,0,0,0,0,0,0,0
36445,202408,1,Rang_ingreso_01,Lima,27.0,2.0,Rango_SDO_06,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,6,6,5,4,4,4,7,0,0,0,0,0,14,19,19,18,9,17,5,5,5,5,5,5,1,1,1,1,1,1
32679,202408,1,Rang_ingreso_09,Lima,24.0,6.0,Rango_SDO_01,283240,283220,284920,286850,288500,290170,1,1,1,1,1,1,Rango_05,1,10,16,5,12,8,9,0,0,0,0,0,0,15,24,25,18,14,24,7,7,7,7,6,6,1,1,1,1,1,1
81589,202408,1,Rang_ingreso_04,Provincia,28.0,0.0,Cero,0,0,0,0,0,0,1,1,1,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,1,1,1,1,1,1
53070,202408,1,Rang_ingreso_08,Lima,46.0,5.0,Rango_SDO_07,6350,4000,3820,3440,3900,4850,1,1,1,1,1,1,Rango_03,0,6,5,2,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,1,1,1,1,1,0
84937,202408,0,Rang_ingreso_03,,,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33503,202408,1,Rang_ingreso_05,Lima,41.0,2.0,Rango_SDO_07,0,0,0,0,0,0,0,0,0,1,0,0,Rango_02,1,0,0,2,1,1,0,0,0,0,0,0,0,4,4,2,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1
30871,202408,1,Rang_ingreso_01,Provincia,46.0,0.0,Cero,0,0,0,0,0,0,1,1,0,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,2,2,1,1,1,1,1,1
22416,202408,1,Rang_ingreso_01,Lima,28.0,9.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,4,2,2,3,13,16,9,10,18,10,25,13,20,15,14,4,4,4,4,4,3,1,1,1,1,1,1
16769,202408,0,Rang_ingreso_01,Lima,27.0,4.0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,14,22,52,90,0,0,0,0,0,0,0,0,0,0,0,0
89075,202408,1,Rang_ingreso_02,Provincia,37.0,0.0,Rango_SDO_01,0,0,0,0,0,0,1,0,0,0,0,0,Rango_03,1,3,5,4,2,0,0,0,0,0,0,0,0,9,4,10,11,0,0,1,1,1,1,1,1,1,1,1,1,1,1
14711,202408,1,Rang_ingreso_08,Lima,39.0,6.0,Rango_SDO_04,284280,283390,284340,283610,284270,285350,1,1,1,1,1,1,Rango_04,1,3,1,2,4,4,5,8,5,10,7,9,11,15,9,2,6,12,1,2,2,2,2,2,2,1,1,1,1,1,1
55889,202408,1,Rang_ingreso_06,Lima,29.0,4.0,Rango_SDO_02,106480,104610,92010,109470,107230,107240,1,1,1,1,1,1,Rango_05,1,4,6,6,13,5,4,12,19,13,20,15,16,5,11,10,12,9,8,6,6,6,6,6,6,1,1,1,1,1,1
62625,202408,1,Rang_ingreso_01,Lima,45.0,1.0,Rango_SDO_01,3780,3880,3980,4080,4180,4270,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,6,6,6,6,6,1,1,1,1,1,1
42568,202408,1,Rang_ingreso_06,Provincia,28.0,10.0,Rango_SDO_07,23810,24290,24800,34130,30500,41190,1,1,1,1,1,1,Rango_05,1,0,1,0,1,2,0,6,15,11,11,18,7,16,11,11,13,6,15,3,3,3,3,3,3,1,1,1,0,0,0
45083,202408,1,Rang_ingreso_03,Lima,61.0,9.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,4,4,4,4,1,1,1,1,1,1
13228,202408,1,Rang_ingreso_02,Provincia,31.0,0.0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,1
43761,202408,1,Rang_ingreso_02,Lima,26.0,4.0,Rango_SDO_05,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1
56670,202408,0,,Provincia,41.0,0.0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13643,202408,1,,Lima,31.0,10.0,Rango_SDO_05,130,40,100,360,340,90,1,1,1,1,1,1,Rango_03,0,1,0,0,0,0,0,0,0,0,0,0,0,13,16,25,26,15,10,3,1,1,1,1,1,1,0,0,0,0,0
1723,202408,1,,,,1.0,Rango_SDO_01,16940,4740,0,0,0,0,1,1,1,0,0,0,Rango_04,0,4,12,1,0,0,0,10,23,5,0,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88246,202408,1,Rang_ingreso_01,Lima,36.0,9.0,Rango_SDO_05,7510,7180,7030,6650,6220,6060,1,1,1,1,1,1,Rango_04,1,2,0,3,3,0,1,0,0,0,0,0,0,6,11,9,11,8,9,5,5,5,5,5,5,1,1,1,1,1,1
77612,202408,1,Rang_ingreso_01,Lima,22.0,2.0,Rango_SDO_01,0,0,0,2860,2160,910,1,1,1,1,1,1,Rango_03,1,0,0,0,0,0,0,0,0,0,1,1,0,4,4,3,12,21,24,1,1,1,1,1,1,0,0,0,0,0,0
73110,202408,1,Rang_ingreso_01,Provincia,58.0,4.0,Rango_SDO_01,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,1,1,1,1,1,1
32622,202408,1,Rang_ingreso_04,Provincia,25.0,0.0,Cero,240,300,320,10,0,0,1,1,1,1,0,0,Rango_02,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,0,0,0,0,6,6,6,5,4,4,1,1,1,1,1,1
