ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
64216,Reclamo,NO PROCEDE,202406,Producto 20,Submotivo 43
64216,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
31419,Reclamo,NO PROCEDE,202404,Producto 21,Submotivo 40
31419,Reclamo,PROCEDE TOTAL,202404,Producto 21,Submotivo 88
57394,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
32698,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
32698,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 132
553,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
553,Reclamo,PROCEDE TOTAL,202406,Producto 20,Submotivo 125
553,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
29206,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 144
48572,Reclamo,NO PROCEDE,202408,Producto 20,Submotivo 125
34671,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 132
34671,Reclamo,PROCEDE TOTAL,202404,Producto 18,Submotivo 125
34671,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 132
34671,Solicitud,PROCEDE TOTAL,202403,Producto 20,Submotivo 157
98813,Solicitud,PROCEDE TOTAL,202408,Producto 07,Submotivo 144
29685,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
14205,Solicitud,NO PROCEDE,202408,Producto 20,Submotivo 157
61388,Reclamo,NO PROCEDE,202408,Producto 07,Submotivo 125
61388,Reclamo,NO PROCEDE,202404,Producto 07,Submotivo 125
19260,Reclamo,NO PROCEDE,202408,Producto 01,Submotivo 146
19260,Reclamo,NO PROCEDE,202408,Producto 01,Submotivo 146
97960,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
45236,Reclamo,PROCEDE TOTAL,202405,Producto 07,Submotivo 27
98417,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
84789,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 111
46361,Reclamo,NO PROCEDE,202407,Producto 18,Submotivo 66
