ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
35660,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
22480,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 27
24691,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
24691,Reclamo,PROCEDE PARCIAL,201208,Producto 18,Submotivo 125
22576,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 123
22576,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
71497,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
71497,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
17292,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
23200,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
23200,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
9568,Reclamo,PROCEDE TOTAL,202403,Producto 21,Submotivo 156
12721,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
12721,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
10346,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
22617,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 132
22617,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 146
45282,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 157
75712,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
40059,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 88
40059,Reclamo,NO PROCEDE,202406,Producto 21,Submotivo 88
75728,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
58758,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
46666,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
46666,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
46666,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
2180,Reclamo,PROCEDE TOTAL,202405,Producto 01,Submotivo 146
23439,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
61330,Reclamo,PROCEDE TOTAL,202405,Producto 05,Submotivo 125
40852,Reclamo,PROCEDE TOTAL,202404,Producto 22,Submotivo 125
92860,Reclamo,PROCEDE TOTAL,202403,Producto 21,Submotivo 39
91676,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 156
47260,Solicitud,PROCEDE TOTAL,202407,Producto 07,Submotivo 144
59866,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
33111,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
41656,Reclamo,NO PROCEDE,202404,Producto 07,Submotivo 125
97150,Reclamo,PROCEDE PARCIAL,202406,Producto 20,Submotivo 125
24736,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
24736,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
36857,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
55010,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 157
46530,Reclamo,NO PROCEDE,202406,Producto 07,Submotivo 125
46530,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 43
85155,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 157
20122,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
20122,Reclamo,PROCEDE PARCIAL,202405,Producto 20,Submotivo 125
89450,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
70344,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 125
17525,Reclamo,PROCEDE PARCIAL,202403,Producto 18,Submotivo 67
33554,Reclamo,PROCEDE TOTAL,202407,Producto 05,Submotivo 125
41108,Reclamo,PROCEDE TOTAL,202404,Producto 17,Submotivo 89
16469,Reclamo,NO PROCEDE,202407,Producto 17,Submotivo 89
