ID_CORRELATIVO,CODMES,FLG_BANCARIZADO,RANG_INGRESO,FLAG_LIMA_PROVINCIA,EDAD,ANTIGUEDAD,ATTRITION,RANG_SDO_PASIVO_MENOS0,SDO_ACTIVO_MENOS0,SDO_ACTIVO_MENOS1,SDO_ACTIVO_MENOS2,SDO_ACTIVO_MENOS3,SDO_ACTIVO_MENOS4,SDO_ACTIVO_MENOS5,FLG_SEGURO_MENOS0,FLG_SEGURO_MENOS1,FLG_SEGURO_MENOS2,FLG_SEGURO_MENOS3,FLG_SEGURO_MENOS4,FLG_SEGURO_MENOS5,RANG_NRO_PRODUCTOS_MENOS0,FLG_NOMINA,NRO_ACCES_CANAL1_MENOS0,NRO_ACCES_CANAL1_MENOS1,NRO_ACCES_CANAL1_MENOS2,NRO_ACCES_CANAL1_MENOS3,NRO_ACCES_CANAL1_MENOS4,NRO_ACCES_CANAL1_MENOS5,NRO_ACCES_CANAL2_MENOS0,NRO_ACCES_CANAL2_MENOS1,NRO_ACCES_CANAL2_MENOS2,NRO_ACCES_CANAL2_MENOS3,NRO_ACCES_CANAL2_MENOS4,NRO_ACCES_CANAL2_MENOS5,NRO_ACCES_CANAL3_MENOS0,NRO_ACCES_CANAL3_MENOS1,NRO_ACCES_CANAL3_MENOS2,NRO_ACCES_CANAL3_MENOS3,NRO_ACCES_CANAL3_MENOS4,NRO_ACCES_CANAL3_MENOS5,NRO_ENTID_SSFF_MENOS0,NRO_ENTID_SSFF_MENOS1,NRO_ENTID_SSFF_MENOS2,NRO_ENTID_SSFF_MENOS3,NRO_ENTID_SSFF_MENOS4,NRO_ENTID_SSFF_MENOS5,FLG_SDO_OTSSFF_MENOS0,FLG_SDO_OTSSFF_MENOS1,FLG_SDO_OTSSFF_MENOS2,FLG_SDO_OTSSFF_MENOS3,FLG_SDO_OTSSFF_MENOS4,FLG_SDO_OTSSFF_MENOS5
89278,201208,1,Rang_ingreso_05,Lima,38.0,5.0,0,Rango_SDO_01,0,0,0,0,0,0,0,1,1,0,0,0,Rango_03,1,0,0,0,0,0,0,0,0,0,0,0,0,29,25,14,33,35,42,0,0,0,0,0,0,0,0,0,0,0,0
71204,201208,1,Rang_ingreso_06,Lima,32.0,10.0,0,Rango_SDO_05,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,9,11,11,9,6,12,0,0,0,0,0,0,14,9,11,11,13,15,2,2,2,2,2,2,1,1,1,1,1,1
27248,201208,1,Rang_ingreso_01,Lima,33.0,3.0,0,Rango_SDO_03,22060,22520,20090,22710,19650,17080,1,1,1,1,1,1,Rango_03,0,2,2,5,1,0,2,4,1,0,0,2,7,0,0,0,0,3,5,4,4,5,5,5,5,1,1,1,1,1,1
79319,201208,1,Rang_ingreso_06,Provincia,30.0,4.0,0,Rango_SDO_08,9790,10000,3000,0,0,0,1,1,1,1,1,1,Rango_04,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,10,7,10,1,1,1,1,1,1,0,0,0,0,0,0
56111,201208,1,Rang_ingreso_09,Lima,27.0,8.0,0,Rango_SDO_07,0,0,0,410,1150,850,1,1,1,1,1,1,Rango_03,1,0,0,0,1,1,0,8,9,11,13,10,16,13,11,11,10,10,13,2,2,3,3,3,3,1,1,1,1,0,0
3677,201208,1,Rang_ingreso_02,Lima,24.0,5.0,0,Rango_SDO_06,490,690,0,0,0,1100,1,1,1,1,1,1,Rango_04,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,1,1,1,1,1
51667,201208,1,Rang_ingreso_02,Lima,38.0,1.0,1,Cero,25330,28020,6770,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24472,201208,1,Rang_ingreso_05,Lima,33.0,8.0,0,Cero,90,260,240,40,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,1,1,1,1,1,1
83751,201208,1,Rang_ingreso_06,Lima,24.0,1.0,0,Cero,15090,15790,16340,17110,17810,0,1,1,1,1,1,1,Rango_04,0,0,4,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,1,1,1,1,1,1
28607,201208,0,Rang_ingreso_01,Provincia,,1.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,2,0,3,3,1,2,0,0,0,0,0,0,3,5,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0
73207,201208,1,Rang_ingreso_03,Lima,23.0,3.0,0,Rango_SDO_04,0,0,0,0,0,0,1,1,1,1,1,1,Rango_03,1,1,4,1,2,4,6,2,4,0,6,8,7,13,14,15,18,27,13,1,2,2,2,1,1,1,1,1,1,0,0
51177,201208,1,Rang_ingreso_03,Provincia,25.0,1.0,0,Rango_SDO_01,9030,9310,9630,9910,10240,10650,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3,0,0,1,1,1,1
86026,201208,1,Rang_ingreso_05,Lima,26.0,6.0,0,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,1,1,1,1,1,1
11029,201208,1,,Lima,57.0,5.0,0,Rango_SDO_02,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,6,1,3,4,1,1,1,1,1,1,0,0,0,0,0,0
66036,201208,1,Rang_ingreso_03,Lima,51.0,8.0,0,Rango_SDO_07,2660,2090,0,0,20,140,1,1,1,1,1,1,Rango_04,1,7,5,5,5,5,6,0,0,0,0,0,0,6,7,5,8,15,4,5,5,5,5,5,5,1,1,1,1,1,1
23867,201208,1,Rang_ingreso_06,Provincia,28.0,4.0,0,Rango_SDO_04,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,4,1,4,4,1,7,0,0,0,0,0,0,16,19,12,23,18,21,1,1,1,1,1,1,0,0,0,0,0,0
66415,201208,1,,Lima,49.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,1,0,0,Rango_02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0
96414,201208,1,Rang_ingreso_09,Lima,32.0,8.0,0,Rango_SDO_14,616400,621450,624280,40290,0,1500,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,3,3,0,3,3,9,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
73708,201208,1,Rang_ingreso_06,Provincia,45.0,8.0,1,Cero,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
13813,201208,1,Rang_ingreso_05,Provincia,49.0,1.0,1,Cero,0,0,0,0,0,0,1,1,1,1,1,1,Rango_02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,6,6,6,6,1,1,1,1,1,1
35478,201208,1,Rang_ingreso_03,Lima,39.0,8.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,0,9,11,1,1,1,7,0,0,0,0,0,0,18,16,12,14,10,7,5,5,5,5,5,5,1,1,1,1,1,1
21573,201208,1,Rang_ingreso_02,Lima,45.0,3.0,0,Rango_SDO_01,0,0,0,0,0,0,0,0,0,0,0,0,Rango_02,1,0,0,0,0,0,0,0,0,0,0,0,0,21,14,20,15,14,8,3,3,3,3,3,3,1,1,1,1,1,1
28324,201208,1,Rang_ingreso_01,Provincia,42.0,1.0,1,Cero,0,0,0,0,0,0,1,1,1,0,0,0,Rango_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0
2743,201208,1,Rang_ingreso_04,Lima,29.0,5.0,0,Rango_SDO_01,110,0,130,160,0,0,0,0,1,1,1,1,Rango_02,1,3,7,4,4,2,1,23,17,24,11,18,27,12,33,18,31,5,12,2,2,2,2,2,2,0,0,0,0,0,0
19908,201208,1,Rang_ingreso_06,Lima,29.0,6.0,0,Rango_SDO_11,2610,0,0,3510,250,830,1,1,1,1,1,1,Rango_04,0,0,0,0,0,0,0,12,22,15,16,17,16,5,0,0,0,7,1,2,2,2,2,2,2,0,0,0,0,0,0
