ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
35660,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
22480,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 27
24691,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
24691,Reclamo,PROCEDE PARCIAL,201208,Producto 18,Submotivo 125
22576,Reclamo,NO PROCEDE,202405,Producto 18,Submotivo 123
22576,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
71497,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
71497,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
17292,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
9568,Reclamo,PROCEDE TOTAL,202403,Producto 21,Submotivo 156
12721,Solicitud,NO PROCEDE,202403,Producto 20,Submotivo 157
12721,Reclamo,NO PROCEDE,202403,Producto 20,Submotivo 125
22617,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 132
22617,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 146
45282,Solicitud,PROCEDE TOTAL,202405,Producto 20,Submotivo 157
75712,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
40059,Reclamo,NO PROCEDE,202407,Producto 21,Submotivo 88
40059,Reclamo,NO PROCEDE,202406,Producto 21,Submotivo 88
18610,Reclamo,NO PROCEDE,202405,Producto 07,Submotivo 125
75728,Solicitud,NO PROCEDE,202406,Producto 20,Submotivo 157
46666,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
46666,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
46666,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
2180,Reclamo,PROCEDE TOTAL,202405,Producto 01,Submotivo 146
23439,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
61330,Reclamo,PROCEDE TOTAL,202405,Producto 05,Submotivo 125
40852,Reclamo,PROCEDE TOTAL,202404,Producto 22,Submotivo 125
62569,Solicitud,NO PROCEDE,202405,Producto 20,Submotivo 157
89549,Reclamo,NO PROCEDE,202404,Producto 20,Submotivo 125
91676,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 156
96584,Reclamo,PROCEDE TOTAL,202407,Producto 01,Submotivo 07
33061,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 132
33061,Reclamo,PROCEDE TOTAL,202403,Producto 21,Submotivo 125
33111,Solicitud,PROCEDE TOTAL,202406,Producto 07,Submotivo 144
41656,Reclamo,NO PROCEDE,202404,Producto 07,Submotivo 125
97150,Reclamo,PROCEDE PARCIAL,202406,Producto 20,Submotivo 125
24736,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 125
24736,Solicitud,NO PROCEDE,202404,Producto 20,Submotivo 157
45900,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 89
45900,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 89
36857,Reclamo,NO PROCEDE,202407,Producto 20,Submotivo 125
55010,Solicitud,PROCEDE TOTAL,202404,Producto 20,Submotivo 157
46530,Reclamo,NO PROCEDE,202406,Producto 07,Submotivo 125
46530,Reclamo,NO PROCEDE,202405,Producto 20,Submotivo 43
85155,Solicitud,PROCEDE TOTAL,202406,Producto 20,Submotivo 157
75412,Reclamo,NO PROCEDE,201208,Producto 21,Submotivo 125
18158,Reclamo,PROCEDE TOTAL,202407,Producto 01,Submotivo 125
20122,Reclamo,PROCEDE TOTAL,202405,Producto 20,Submotivo 125
20122,Reclamo,PROCEDE PARCIAL,202405,Producto 20,Submotivo 125
85631,Reclamo,NO PROCEDE,202406,Producto 17,Submotivo 30
85631,Reclamo,NO PROCEDE,202403,Producto 17,Submotivo 30
70344,Reclamo,PROCEDE TOTAL,202404,Producto 01,Submotivo 125
