model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",1010,0.7884917509452615,0.015029582457494117,0.019061179066840354
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",1146,0.7864177534191783,0.013641378804218627,0.017346224376177666
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",1230,0.7845943904039281,0.012978370844101694,0.016541503486177254
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",1144,0.7864730994029326,0.014584907402853864,0.018544699639347233
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",1237,0.7845180504681616,0.014291628409613486,0.018217080411451272
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",1286,0.782823565744553,0.012590009250873049,0.016082818404806885
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",1208,0.7850573468591856,0.014045664509403626,0.017891259238062993
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",1289,0.7827979696230066,0.012937100006435236,0.016526741903361997
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",1322,0.7819778893946984,0.012798890873798386,0.016367330902035553
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",530,0.7923733471883573,0.015882566934227765,0.02004429728812203
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",558,0.7921491836569702,0.015566826572548731,0.019651382458900243
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",919,0.7893399221089265,0.014113144292078328,0.017879678826292482
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",599,0.7918559946403381,0.015764705096110075,0.019908550548096086
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",597,0.7918665729279798,0.015062740301278325,0.01902181606881426
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 1.0}",939,0.789165988531487,0.013158879462419783,0.016674412802440176
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",800,0.79043724717445,0.01622673986077306,0.020528814803171605
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",849,0.7900181582188311,0.014891953902947752,0.018850141288553463
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",952,0.789044278060591,0.01541756963701182,0.019539549383599863
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",1041,0.7880597784680421,0.015226842643658492,0.019321938588540692
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",1170,0.7859719916138589,0.013337325553191491,0.0169692122562861
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",1216,0.784964010907724,0.013441156525793254,0.01712327742293566
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",1134,0.7865900107406474,0.01477817231422301,0.018787643006434814
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",1241,0.7843987666566462,0.014543482474895971,0.01854092980906237
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",1276,0.7831129811069951,0.012788992050754396,0.01633096674336326
"{'eta': 0.05, 'gamma': 0, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",1218,0.7849117989718106,0.014214790372075292,0.018110048021568605
